PMID	ProA	Action	ProB	LL-A	LL-B
15963499	HHARI	ubiquitinates	SIM2	25820	6493
15963499	parkin	ubiquitinates	SIM2	5071	6493
15963787	SLIM	ubiquitinates	STAT1	64236	6772
15963787	SLIM	ubiquitinates	STAT4	64236	6775
15964779	RanBPM	binds	Axl	10048	558
15964779	RanBPM	binds	Sky	10048	7301
15967462	MURF1	binds	titin	84676	
15967462	MURF1	binds	nebulin	84676	
15967462	MURF1	binds	NRAP	84676	
15967462	MURF1	binds	TnI	84676	
15967462	MURF1	binds	TnT	84676	
15967462	MURF1	binds	MLC-2	84676	
15967462	MURF1	binds	myotilin	84676	
15967462	MURF1	binds	T-cap	84676	
15967462	MURF2	binds	titin	84676	
15967462	MURF2	binds	nebulin	84676	
15967462	MURF2	binds	NRAP	84676	
15967462	MURF2	binds	TnI	84676	
15967462	MURF2	binds	TnT	84676	
15967462	MURF2	binds	MLC-2	84676	
15967462	MURF2	binds	myotilin	84676	
15967462	MURF2	binds	T-cap	84676	
15975924	Mdm2	binds	GATA3	4193	
15975933	myeloblastin	cleaves	p21 waf1/cip1		
15983046	Cul3	ubiquitinates	Keap1		
15983046	Cul3	ubiquitinates	GAN1		
15983046	Cul3	ubiquitinates	ENC1		
15983046	Cul3	ubiquitinates	sarcosin		
15987638	parkin	binds	PSMA7	5071	5688
15989956	ARF-BP1	ubiquitinates	p53	10075	7157
15989956	ARF	inhibits	ARF-BP1	1029	10075
15989957	mule	ubiquitinates	Mcl-1		
15994944	S100A7	binds	JAB1	6278	10987
16000162	RanBPM	binds	L1	10048	
16000308	CD2BP2	binds	PI31	10421	9491
16000308	CD2BP2	binds	NPWBP	10421	51729
16009132	NIPA	ubiquitinates	CCNB1		
16023600	gankyrin	binds	MDM2	5716	4193
16023600	gankyrin	binds	proteasome S6	5716	5704
16024662	HSP90	binds	sGC		
16027725	UCH37	binds	Smad7		
16033705	EVI5	binds	alpha tubulin	7813	
16033705	EVI5	binds	gamma tubulin	7813	
16054087	Fbw7	ubiquitinates	SREBP2	55294	6720
16054087	Fbw7	ubiquitinates	SREBP1	55294	6721
16082200	CINP	binds	Cdk2	51550	1017
16082200	CINP	binds	MCM5	51550	4174
16082366	RSU1	binds	LIMS1	6251	3987
16082366	BUB3	binds	ZNF207	9184	7756
16084064	POSH	ubiquitinates	Hrs		
16085932	16085932-1	complex	PP4C		5531
16085932	16085932-1	complex	PP4R3		
16085932	16085932-1	complex	PP4R2		
16085932	CHK2	binds	PP4R2	11200	
16093354	Raf-1	binds	HSP70	5894	
16093354	Raf-1	binds	HSC70	5894	
16098186	tat binding protein 1	binds	alpha synuclein	5702	6622
16098527	IkappaBalpha	binds	proteasome alpha2 (C3)	3551	5683
16103226	CYK4	binds	ECT2	3851	1894
16118314	Triad1	binds	UbcH7		
16123041	caspase 7	cleaves	claspin	840	63967
16132846	PDCD6	binds	DAPK1	10016	1612
16135787	IQGAP1	binds	MEK1	8826	
16135787	IQGAP1	binds	MEK2	8816	
16142238	16142238-1	complex	BCL6		
16142238	16142238-1	complex	Miz1		
16142238	16142238-1	represses	CDKN1A		
16142243	GRK2	binds	Akt1	156	207
16147992	BCL6	binds	many		
16159959	Eps15	binds	ubiquilin		
16162871	KLH10	binds	cullin3		
16166642	JAMP	binds	JNK1		
16169850	BAG2	binds	CHIP		
16170377	UFD2a	ubiquitinates	p73		
16171779	NUB1	binds	NEDD8	51667	4738
16171779	NUB1	binds	proteasome S5a	51667	5710
16179162	septin1	binds	AurB	1731	9212
16181626	ARF6	binds	Ku70		
16184168	Nek2	binds	HEF1	4751	4739
16186509	16186509-2		SEL1L		6400
16186509	16186509-1		p97		7415
16186509	16186509-2		Derlin-2		51009
16186509	16186509-1		Derlin-2		51009
16186509	16186509-1		VIMP		55829
16186509	16186509-1		Derlin-1		79139
16186509	16186509-2		HRD1		84447
16199878	BAF57	binds	BAF155	6605	6599
16203730	hVPS18	ubiquitinates	SNK	57617	10769
16203858	C-Nap1	binds	rootletin	11190	9696
16204042	Cdh1	ubiquitinates	AurB	51343	9212
16204183	Rnf6	ubiquitinates	LIMK1	6049	3984
16205630	DSS1	binds	BRCA2	7979	675
16213503	LASU1	binds	Mcl1	10075	4170
16215985	UBC13	binds	KF1	7334	7844
16215985	UBC13	binds	RNF8	7334	9025
16215985	UBC13	binds	ZNRF2	7334	223082
16215985	UBC13	binds	KIAA00675	7334	
16223724	WWP1	ubiquitinates	KLF5		
16226459	RNF11	binds	AIP4	26994	83737
16226459	RNF11	binds	Nedd4	26994	
16226459	RNF11	binds	Smurf1	26994	
16226459	RNF11	binds	Smurf2	26994	
16226459	RNF11	binds	Cul1	26994	
16227972	gigaxonin	binds	MAP1B	8139	
16227972	gigaxonin	binds	E1	8139	
16246726	PAK1	binds	AuroraA	5058	8465
16246726	PAK2	binds	AuroraA	5062	8465
16246726	PAK3	binds	AuroraA	5063	8465
16247459	merlin	binds	TRBP	4771	6895
16249333	PNGase	binds	proteasome S4	55768	5700
16249333	PNGase	binds	HR23B	55768	5887
16251969	16251969-1	binds	PSMA5		5686
16251969	16251969-1	binds	PSMA7		5688
16251969	16251969-1	complex	PAC1		8624
16251969	16251969-1	complex	PAC2		56984
16263936	cIAP	binds	XIAP		
16269333	HecH9	ubiquitinates	Myc	10075	4609
16271387	16271387-1	complex	TRBP		6895
16271387	16271387-1	complex	Dicer		23405
16271387	16271387-1	complex	Argonaute2		27161
16278681	CRIPak	binds	Pak1	285464	5058
16284623	GW182	binds	argonautes	27327	
16286470	Skp2	ubiquitinates	MKP1	6502	
16287839	Runx1	binds	Cyclin D3		
16287863	Cdh1	ubiquitinates	TPX2		
16289642	Ago1	binds	MOV10		
16289642	Ago1	binds	KIAA1093		
16301319	sur8	binds	erbin	8036	55914
16306228	USP9	binds	(AMPK family)		
16306228	p97	binds	(AMPK family)		
16306228	adenine nucleotide translocase	binds	(AMPK family)		
16306228	PP2A	binds	(AMPK family)		
16306228	14-3-3s	binds	(AMPK family)		
16314388	CAP350	binds	FOP		
16339216	Plk1	binds	hamartin	5347	7248
16357137	16357137-1	complex	FBX031		
16357137	16357137-1	complex	Skp1		
16357137	16357137-1	complex	Roc1		
16357137	16357137-1	complex	Cul1		
16360036	MDM2	ubiquitinates	hnRNPK		
16360037	16360037-1	complex	PIDD		
16360037	16360037-1	complex	RIP1		
16360037	16360037-1	complex	NEMO		
16378098	16378098-1	complex	INCENP		3619
16378098	16378098-1	complex	Plk1		5347
16378098	16378098-1	complex	AurB		9212
16378099	16378099-1	complex	GCP-WD	121441	
16378099	16378099-1	complex	GCP2	10844	
16378099	16378099-1	complex	gamma tubulin	7283	
16407229	MORG1	binds	PHD3		
16439210	EVI5	binds	Emi1	7813	
16601693	16601693-1	complex	Smad7		
16601693	16601693-1	complex	Arkadia		
16601693	16601693-1	complex	Axin		
16603398	RIPK1	binds	NEMO		8517
16606343	CK2	phosphorylates	BID		
16630891	sur8	binds	PP1c	8036	
16906147	PIASY	sumoylates	NEMO		8517
17043309	sin1	binds	mTOR		
Cell	HIC1	binds	SIRT1	3090	23411
EMBO	PKCtheta	phosphorylates	vimentin	5588	7431
Oncogene	UbcH6	ubiquitinates	TSSC5		
Oncogene	RING105	ubiquitinates	TSSC5		
	HecH9	binds	Miz1	10075	9063
